career_id,career,faculty,n_historico,n_2026,distancia_wasserstein
79,LENGUA Y LITERATURAS MODERNAS (LETRAS FRANCESAS),FACULTAD DE FILOSOFIA Y LETRAS,170,8,14.523529411764706
35,ECONOMIA,FACULTAD DE ECONOMIA,12296,1635,14.479875407631134
26,CONTADURIA,FES CUAUTITLAN,8967,862,14.433135340020913
62,INGENIERIA ELECTRICA ELECTRONICA,FES ARAGON,3449,510,14.419526546484061
105,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUIMICA,15481,2138,14.4140726170932
108,SOCIOLOGIA,FES ARAGON,1666,142,14.27355731024804
52,GEOHISTORIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,83,6,14.234939759036143
64,INGENIERIA EN COMPUTACION,FES ARAGON,11455,1442,14.132345044318022
32,DISEÑO INDUSTRIAL,FES ARAGON,5003,642,14.11192381144522
108,SOCIOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,2192,185,14.103514006707435
63,INGENIERIA EN ALIMENTOS,FES CUAUTITLAN,3901,384,13.877600828847305
102,PSICOLOGIA,FES ZARAGOZA,20765,2403,13.766319791087051
99,PEDAGOGIA,FES ARAGON,14122,1352,13.699755469874106
1,ACTUARIA,FES ACATLAN,4450,650,13.620985306828004
55,INFORMATICA,FES CUAUTITLAN,2836,219,13.58743583798649
1,ACTUARIA,FACULTAD DE CIENCIAS,8677,1354,13.564794038604237
99,PEDAGOGIA,FES ACATLAN,8604,880,13.476524132538778
106,QUIMICA INDUSTRIAL,FES CUAUTITLAN,2444,221,13.451525945893906
56,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLAN,4445,337,13.402309132723392
71,INGENIERIA MECANICA,FACULTAD DE INGENIERIA,11746,1732,13.390171643120414
24,COMUNICACION,FES ACATLAN,6340,763,13.37873990680983
105,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,11256,1335,13.239447425792385
60,INGENIERIA CIVIL,FACULTAD DE INGENIERIA,9049,1237,13.127005730857409
29,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,101,7,13.103253182461104
74,INGENIERIA QUIMICA,FES CUAUTITLAN,2797,234,13.058397428257992
50,GEOGRAFIA,FACULTAD DE FILOSOFIA Y LETRAS,1058,73,13.003495869694696
102,PSICOLOGIA,FACULTAD DE PSICOLOGIA,27470,3526,12.957171883069057
11,BIOLOGIA,FES ZARAGOZA,7067,676,12.921100698889664
64,INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERIA,16754,2473,12.839977064460431
100,PIANO,FACULTAD DE MUSICA,229,20,12.78602620087336
59,INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA,2662,155,12.760352390877584
25,COMUNICACION Y PERIODISMO,FES ARAGON,9433,1016,12.730465420858755
21,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,5019,548,12.71232091773887
99,PEDAGOGIA,FACULTAD DE FILOSOFIA Y LETRAS,12456,1376,12.712294252513033
44,FARMACIA,FES CUAUTITLAN,2527,221,12.686019048574043
62,INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERIA,8607,1249,12.634893600950237
35,ECONOMIA,FES ACATLAN,4264,525,12.49420039310283
104,QUIMICA DE ALIMENTOS,FACULTAD DE QUIMICA,4386,473,12.468867885420554
70,INGENIERIA INDUSTRIAL,FES CUAUTITLAN,3637,399,12.432709488872028
82,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFIA Y LETRAS,95,9,12.280701754385966
101,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGON,1172,81,12.226930855770448
69,INGENIERIA GEOMATICA,FACULTAD DE INGENIERIA,643,75,11.79485743908761
11,BIOLOGIA,FACULTAD DE CIENCIAS,10843,1222,11.530905395306588
28,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,415,79,11.451395455238675
48,FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,4064,364,11.360925737648177
72,INGENIERIA MECANICA ELECTRICA,FES CUAUTITLAN,4308,579,11.287966477598012
108,SOCIOLOGIA,FES ACATLAN,1670,126,11.11712764946298
31,DISEÑO GRAFICO,FES ACATLAN,14240,1104,10.935452287900993
